DirtyColumn,DirtyTable,CleanColumn,
irrig_gas_prod,data_science.vods_monthly_volumes,IRRIG_GAS_PROD,
nitrogen_inj,data_science.vods_monthly_volumes,NITROGEN_INJ,
nitrogen_prod,data_science.vods_monthly_volumes,NITROGEN_PROD,
oil_other_disp,data_science.vods_monthly_volumes,OIL_OTHER_DISP,
oil_prod,data_science.vods_monthly_volumes,OIL_PROD,
oil_sales,data_science.vods_monthly_volumes,OIL_SALES,
owg_prod,data_science.vods_monthly_volumes,OWG_PROD,
owg_sales,data_science.vods_monthly_volumes,OWG_SALES,
prod_inj_date,data_science.vods_monthly_volumes,DATE,
rec_timestamp,data_science.vods_monthly_volumes,REC_TIMESTAMP,
source,data_science.vods_monthly_volumes,SOURCE,
steam_inj,data_science.vods_monthly_volumes,STEAM_INJ,
supply_water_prod,data_science.vods_monthly_volumes,SUPPLY_WATER_PROD,
water_inj,data_science.vods_monthly_volumes,WATER_INJ,
water_prod,data_science.vods_monthly_volumes,WATER_PROD,
date,data_science.vods_monthly_volumes,DATE,
pick_depth,data_science.vods_picks,DepthMD,
pick_surf_name,data_science.vods_picks,PICK_SURF_NAME,
pid12,data_science.vods_pressures,API12,
depth_md,data_science.vods_pressures,DepthMD,
pressure_test,data_science.vods_pressures,PRESSURE_TEST,
press_type,data_science.vods_pressures,PRESS_TYPE,
tvdss,data_science.vods_pressures,Z,
x_coord,data_science.vods_pressures,GridX,
y_coord,data_science.vods_pressures,GridY,
well_name_free,data_science.vods_pressures,WellName,
API_NO14,data_science.vods_wellbore_openings,API14,
opening_type,data_science.vods_wellbore_openings,TYPE,
opening_btm_md,data_science.vods_wellbore_openings,BTM_INTERVAL_TMD,
opening_top_md,data_science.vods_wellbore_openings,TOP_INTERVAL_TMD,
current_status,data_science.vods_wellbore_openings,STATUS,
effective_date,data_science.vods_wellbore_openings,DATE,
api_no12,data_science.vods_wellbore_openings,API12,
api_no14,data_science.vods_wellcomp_v,API14,
curr_comp_type,data_science.vods_wellcomp_v,COMP_TYPE,
completion_id,data_science.vods_wellcomp_v,COMPLETION_ID,
cost_center,data_science.vods_wellcomp_v,COST_CENTER,
oper_no,data_science.vods_wellcomp_v,OPER_NO,
orgseq_no,data_science.vods_wellcomp_v,ORG_SEQNO,
reservoir_cd,data_science.vods_wellcomp_v,RESERVOIR,
at_name,data_science.vods_wellcomp_v,RMT_TEAM,
status_eff_date,data_science.vods_wellcomp_v,STATUS_DATE,
unit_no,data_science.vods_wellcomp_v,UNIT,
automation_name,data_science.vods_wellcomp_v,WELL_AUTO_NAME,
WELL_COMMON_NAME,data_science.vods_wellcomp_v,WELL_COMMON_NAME,
wellcomp_name,data_science.vods_wellcomp_v,WELL_COMP_NAME,
well_id,data_science.vods_wellcomp_v,WELL_ID,
curr_comp_status,data_science.vods_wellcomp_v,WELL_STATUS,
wellbore_id,data_science.vods_wellcomp_v,WELLBORE_ID,
curr_comp_status,data_science.vods_wellcomp_v,STATUS,
surf_latitude,data_science.vods_wellcomp_v,GEO_LATITUDE,
surf_longitude,data_science.vods_wellcomp_v,GEO_LONGITUDE,
topx,data_science.vods_wellcomp_v,GEO_OFFSET_EAST,
topy,data_science.vods_wellcomp_v,GEO_OFFSET_NORTH,
remark,dbo.piaccount.fop,COMMENTS,
wellname,dbo.piaccount.fop,WELL_COMP_NAME,
test_date,dbo.piaccount.fop,FluidShotDate,
csg_psi,dbo.piaccount.fop,CasingPressure,
fop,dbo.piaccount.fop,FluidAbovePump,
CREATE_DATE,DOMINGUEZ_PICK,CREATE_DATE,
CREATE_USER_ID,DOMINGUEZ_PICK,CREATE_USER_ID,
DATA_SOURCE,DOMINGUEZ_PICK,PickInterpretor,
DIP_ANGLE,DOMINGUEZ_PICK,DIP_ANGLE,
DIP_ANGLE_OUOM,DOMINGUEZ_PICK,PickAngleUnits,
DIP_AZIMUTH,DOMINGUEZ_PICK,DIP_AZIMUTH,
DIP_AZIMUTH_OUOM,DOMINGUEZ_PICK,PickAziUnits,
GEOLOGIC_FEATURE,DOMINGUEZ_PICK,GEOLOGIC_FEATURE,
GGX_FAULT_NAME,DOMINGUEZ_PICK,GGX_FAULT_NAME,
GGX_GAP_THICKNESS,DOMINGUEZ_PICK,GGX_GAP_THICKNESS,
GGX_GAP_THICKNESS_OUOM,DOMINGUEZ_PICK,GGX_GAP_THICKNESS_OUOM,
GGX_PERCENT_THICKNESS,DOMINGUEZ_PICK,GGX_PERCENT_THICKNESS,
GGX_PERCENT_THICKNESS_OUOM,DOMINGUEZ_PICK,GGX_PERCENT_THICKNESS_OUOM,
GGX_PICK_TYPE,DOMINGUEZ_PICK,GGX_PICK_TYPE,
GGX_SHOW,DOMINGUEZ_PICK,GGX_SHOW,
GGX_UNC_FAULT_OBS_NO,DOMINGUEZ_PICK,GGX_UNC_FAULT_OBS_NO,
GGX_UNC_FAULT_SOURCE,DOMINGUEZ_PICK,GGX_UNC_FAULT_SOURCE,
GGX_UNCONFORMITY_NAME,DOMINGUEZ_PICK,GGX_UNCONFORMITY_NAME,
MAX_DEPTH,DOMINGUEZ_PICK,MaxPickDepthMD,
MAX_DEPTH_OUOM,DOMINGUEZ_PICK,MAX_DEPTH_OUOM,
MIN_DEPTH,DOMINGUEZ_PICK,MinPickDepthMD,
MIN_DEPTH_OUOM,DOMINGUEZ_PICK,MIN_DEPTH_OUOM,
ORIGINAL_DATA_SOURCE,DOMINGUEZ_PICK,ORIGINAL_DATA_SOURCE,
PICK_CONF_FACT,DOMINGUEZ_PICK,PICK_CONF_FACT,
PICK_CORR_CONF,DOMINGUEZ_PICK,PICK_CORR_CONF,
PICK_DATE,DOMINGUEZ_PICK,PICK_DATE,
PICK_DEPTH,DOMINGUEZ_PICK,DepthMD,
PICK_DEPTH_OUOM,DOMINGUEZ_PICK,PickDepthUnits,
PICK_KIND,DOMINGUEZ_PICK,PICK_KIND,
PICK_OBS_NO,DOMINGUEZ_PICK,PickCount,
PICK_QUAL,DOMINGUEZ_PICK,PICK_QUAL,
PICK_SOURCE,DOMINGUEZ_PICK,PickSoftware,
PICK_SURF_ID,DOMINGUEZ_PICK,OWPickSurfID,
PICK_SURF_NAME,DOMINGUEZ_PICK,PICK_SURF_NAME,
REMARK,DOMINGUEZ_PICK,REMARK,
TIME_DIST_FLG,DOMINGUEZ_PICK,TIME_DIST_FLG,
UPDATE_DATE,DOMINGUEZ_PICK,UPDATE_DATE,
UPDATE_USER_ID,DOMINGUEZ_PICK,UPDATE_USER_ID,
USER_DEF_1,DOMINGUEZ_PICK,USER_DEF_1,
USER_DEF_2,DOMINGUEZ_PICK,USER_DEF_2,
USER_DEF_3,DOMINGUEZ_PICK,USER_DEF_3,
USER_DEF_4,DOMINGUEZ_PICK,USER_DEF_4,
USER_DEF_5,DOMINGUEZ_PICK,USER_DEF_5,
USER_DEF_NUM_1,DOMINGUEZ_PICK,USER_DEF_NUM_1,
USER_DEF_NUM_2,DOMINGUEZ_PICK,USER_DEF_NUM_2,
USER_DEF_NUM_3,DOMINGUEZ_PICK,USER_DEF_NUM_3,
WELL_ID,DOMINGUEZ_PICK,OpenWorksWellHashID,
WELL_UWI,DOMINGUEZ_PICK,API14,
CREATE_DATE,DOMINGUEZ_VC_PICKSURF_NAME,CREATE_DATE,
CREATE_USER_ID,DOMINGUEZ_VC_PICKSURF_NAME,CREATE_USER_ID,
PICK_SURF_ABBREV,DOMINGUEZ_VC_PICKSURF_NAME,PICK_SURF_ABBREV,
PICK_SURF_ALIAS,DOMINGUEZ_VC_PICKSURF_NAME,PICK_SURF_ALIAS,
PICK_SURF_ID,DOMINGUEZ_VC_PICKSURF_NAME,OWPickSurfID,
PICK_SURF_NAME,DOMINGUEZ_VC_PICKSURF_NAME,PICK_SURF_NAME,
REF_VALUE_SOURCE,DOMINGUEZ_VC_PICKSURF_NAME,REF_VALUE_SOURCE,
REF_VALUE_STATUS,DOMINGUEZ_VC_PICKSURF_NAME,REF_VALUE_STATUS,
REMARK,DOMINGUEZ_VC_PICKSURF_NAME,REMARK,
UPDATE_DATE,DOMINGUEZ_VC_PICKSURF_NAME,UPDATE_DATE,
UPDATE_USER_ID,DOMINGUEZ_VC_PICKSURF_NAME,UPDATE_USER_ID,
ALTERNATE_UWI,DOMINGUEZ_WELL_MASTER,ALTERNATE_UWI,
AUTHORIZATION_NO,DOMINGUEZ_WELL_MASTER,AUTHORIZATION_NO,
BH_LATITUDE,DOMINGUEZ_WELL_MASTER,Btm_Lat,
BH_LONGITUDE,DOMINGUEZ_WELL_MASTER,Btm_Long,
BH_X_COORDINATE,DOMINGUEZ_WELL_MASTER,Btm_GridX,
BH_Y_COORDINATE,DOMINGUEZ_WELL_MASTER,Btm_GridY,
BOREHOLE_NO,DOMINGUEZ_WELL_MASTER,BOREHOLE_NO,
BOREHOLE_TYPE,DOMINGUEZ_WELL_MASTER,BOREHOLE_TYPE,
COMP_DATA_RELEASE_DTE,DOMINGUEZ_WELL_MASTER,COMP_DATA_RELEASE_DTE,
COMPLETION_DATE,DOMINGUEZ_WELL_MASTER,COMPLETION_DATE,
CREATE_DATE,DOMINGUEZ_WELL_MASTER,CREATE_DATE,
CREATE_USER_ID,DOMINGUEZ_WELL_MASTER,CREATE_USER_ID,
CURRENCY,DOMINGUEZ_WELL_MASTER,CURRENCY,
CURRENT_CLASS,DOMINGUEZ_WELL_MASTER,CURRENT_CLASS,
CURRENT_STATUS,DOMINGUEZ_WELL_MASTER,CompletionStatus,
CURRENT_STATUS_DATE,DOMINGUEZ_WELL_MASTER,CompletionStatusDate,
CURRENT_WELL_LEASE_NAME,DOMINGUEZ_WELL_MASTER,CURRENT_WELL_LEASE_NAME,
CURRENT_WELL_LEASE_NO,DOMINGUEZ_WELL_MASTER,CURRENT_WELL_LEASE_NO,
DATA_ACQ_COMPANY,DOMINGUEZ_WELL_MASTER,DATA_ACQ_COMPANY,
DATA_ACQUISITION_TYPE,DOMINGUEZ_WELL_MASTER,DATA_ACQUISITION_TYPE,
DATA_SOURCE,DOMINGUEZ_WELL_MASTER,DATA_SOURCE,
DEPTH_DATUM,DOMINGUEZ_WELL_MASTER,DatumElev,
DEPTH_DATUM_OUOM,DOMINGUEZ_WELL_MASTER,DEPTH_DATUM_OUOM,
DEPTH_DATUM_TYPE,DOMINGUEZ_WELL_MASTER,DatumType,
DRILLING_OPERATOR,DOMINGUEZ_WELL_MASTER,DRILLING_OPERATOR,
FARM_OUT,DOMINGUEZ_WELL_MASTER,FARM_OUT,
FIELD,DOMINGUEZ_WELL_MASTER,FIELD,
FIELD_ID,DOMINGUEZ_WELL_MASTER,OpenWorksFieldHashID,
FINAL_TD,DOMINGUEZ_WELL_MASTER,TD_MD,
FINAL_TD_OUOM,DOMINGUEZ_WELL_MASTER,FINAL_TD_OUOM,
FM_AT_TD,DOMINGUEZ_WELL_MASTER,FM_AT_TD,
GGX_LOCATION,DOMINGUEZ_WELL_MASTER,GGX_LOCATION,
GGX_OLD_ID,DOMINGUEZ_WELL_MASTER,GGX_OLD_ID,
GGX_PERCENT_ALLOCATION,DOMINGUEZ_WELL_MASTER,GGX_PERCENT_ALLOCATION,
GROUND_ELEV,DOMINGUEZ_WELL_MASTER,GROUND_ELEV,
GROUND_ELEV_OUOM,DOMINGUEZ_WELL_MASTER,GROUND_ELEV_OUOM,
INITIAL_CLASS,DOMINGUEZ_WELL_MASTER,INITIAL_CLASS,
INITIAL_STATUS,DOMINGUEZ_WELL_MASTER,INITIAL_STATUS,
INTERNAL_DRILLING_COST,DOMINGUEZ_WELL_MASTER,INTERNAL_DRILLING_COST,
KICK_OFF_DEPTH,DOMINGUEZ_WELL_MASTER,KOD,
KICK_OFF_DEPTH_OUOM,DOMINGUEZ_WELL_MASTER,KICK_OFF_DEPTH_OUOM,
ORIG_BH_CRS_ID,DOMINGUEZ_WELL_MASTER,ORIG_BH_CRS_ID,
ORIG_BH_X_LON,DOMINGUEZ_WELL_MASTER,Btm_GridX,
ORIG_BH_Y_LAT,DOMINGUEZ_WELL_MASTER,Btm_GridY,
PARENT_WELLPATH_ID,DOMINGUEZ_WELL_MASTER,PARENT_WELLPATH_ID,
PARENT_WELLPATH_UWI,DOMINGUEZ_WELL_MASTER,PARENT_WELLPATH_UWI,
PERMIT_DTE,DOMINGUEZ_WELL_MASTER,PERMIT_DTE,
PERMIT_NO,DOMINGUEZ_WELL_MASTER,PERMIT_NO,
PLOT_NAME,DOMINGUEZ_WELL_MASTER,PLOT_NAME,
PLUGBACK_DEPTH,DOMINGUEZ_WELL_MASTER,PBMD,
PLUGBACK_DEPTH_OUOM,DOMINGUEZ_WELL_MASTER,PLUGBACK_DEPTH_OUOM,
REMARK,DOMINGUEZ_WELL_MASTER,REMARK,
RESTRICTED_DATA_IND,DOMINGUEZ_WELL_MASTER,RESTRICTED_DATA_IND,
SECURITY_ON_OFF_FLG,DOMINGUEZ_WELL_MASTER,SECURITY_ON_OFF_FLG,
SPUD_DATE,DOMINGUEZ_WELL_MASTER,SPUD_DATE,
TOTAL_DRILLING_COST,DOMINGUEZ_WELL_MASTER,TOTAL_DRILLING_COST,
TRAJECTORY_SHAPE,DOMINGUEZ_WELL_MASTER,TRAJECTORY_SHAPE,
UPDATE_DATE,DOMINGUEZ_WELL_MASTER,UPDATE_DATE,
UPDATE_USER_ID,DOMINGUEZ_WELL_MASTER,UPDATE_USER_ID,
USER_DEF1,DOMINGUEZ_WELL_MASTER,USER_DEF1,
USER_DEF2,DOMINGUEZ_WELL_MASTER,USER_DEF2,
WATER_DEPTH,DOMINGUEZ_WELL_MASTER,WATER_DEPTH,
WATER_DEPTH_DATUM,DOMINGUEZ_WELL_MASTER,WATER_DEPTH_DATUM,
WATER_DEPTH_OUOM,DOMINGUEZ_WELL_MASTER,WATER_DEPTH_OUOM,
WELL_GEOM_DESC,DOMINGUEZ_WELL_MASTER,WELL_GEOM_DESC,
WELL_ID,DOMINGUEZ_WELL_MASTER,OpenWorksWellHashID,
WELL_LOCATION_ID,DOMINGUEZ_WELL_MASTER,WELL_LOCATION_ID,
WELL_NAME_FREE,DOMINGUEZ_WELL_MASTER,WellName,
WELL_SYMBOL_CODE,DOMINGUEZ_WELL_MASTER,WELL_SYMBOL_CODE,
WELL_UWI,DOMINGUEZ_WELL_MASTER,API14,
WELL_UWI_TYPE,DOMINGUEZ_WELL_MASTER,API_TYPE,
WL_BASIN_ID,DOMINGUEZ_WELL_MASTER,WL_BASIN_ID,
WL_COUNTRY,DOMINGUEZ_WELL_MASTER,COUNTRY_CD,
WL_COUNTY,DOMINGUEZ_WELL_MASTER,COUNTY_NO,
WL_CURRENT_OPERATOR,DOMINGUEZ_WELL_MASTER,WL_CURRENT_OPERATOR,
WL_GOVERN_AREA,DOMINGUEZ_WELL_MASTER,WL_GOVERN_AREA,
WL_LEASE_ID,DOMINGUEZ_WELL_MASTER,WL_LEASE_ID,
WL_ON_OFF_SHORE,DOMINGUEZ_WELL_MASTER,WL_ON_OFF_SHORE,
WL_ORIG_CRS_ID,DOMINGUEZ_WELL_MASTER,WL_ORIG_CRS_ID,
WL_ORIG_X_LON,DOMINGUEZ_WELL_MASTER,WL_ORIG_X_LON,
WL_ORIG_Y_LAT,DOMINGUEZ_WELL_MASTER,WL_ORIG_Y_LAT,
WL_PLATFORM_CODE,DOMINGUEZ_WELL_MASTER,WL_PLATFORM_CODE,
WL_PLATFORM_SLOT_NO,DOMINGUEZ_WELL_MASTER,WL_PLATFORM_SLOT_NO,
WL_STATE,DOMINGUEZ_WELL_MASTER,STATE,
WL_SURFACE_LATITUDE,DOMINGUEZ_WELL_MASTER,Lat,
WL_SURFACE_LONGITUDE,DOMINGUEZ_WELL_MASTER,Long,
WL_SURFACE_X_COORDINATE,DOMINGUEZ_WELL_MASTER,GridX,
WL_SURFACE_Y_COORDINATE,DOMINGUEZ_WELL_MASTER,GridY,
WL_SURVEY_LOC_TYPE,DOMINGUEZ_WELL_MASTER,WL_SURVEY_LOC_TYPE,
WL_WELL_GEOM_TYPE,DOMINGUEZ_WELL_MASTER,WL_WELL_GEOM_TYPE,
WL_WELL_LOCATION_NAME,DOMINGUEZ_WELL_MASTER,WL_WELL_LOCATION_NAME,
WL_WELL_LOCATION_UWI,DOMINGUEZ_WELL_MASTER,WL_WELL_LOCATION_UWI,
WL_WELL_NET_INT,DOMINGUEZ_WELL_MASTER,WL_WELL_NET_INT,
WL_WELL_NET_INT_OUOM,DOMINGUEZ_WELL_MASTER,WL_WELL_NET_INT_OUOM,
ASSEMBLY_ID,EDM_CD_ASSEMBLY,AssemblyHashID,
ASSEMBLY_NAME,EDM_CD_ASSEMBLY,ASSEMBLY_NAME,
ASSEMBLY_NO,EDM_CD_ASSEMBLY,ASSEMBLY_NO,
ASSEMBLY_SIZE,EDM_CD_ASSEMBLY,ASSEMBLY_SIZE,
ASSEMBLY_TYPE,EDM_CD_ASSEMBLY,ASSEMBLY_TYPE,
CASING_CUT_OFF,EDM_CD_ASSEMBLY,CASING_CUT_OFF,
CEMENT_DAY_NO,EDM_CD_ASSEMBLY,CEMENT_DAY_NO,
CONCENTRIC_ASSEMBLY_ID,EDM_CD_ASSEMBLY,CONCENTRIC_ASSEMBLY_ID,
CONCENTRIC_ASSEMBLY_WB_ID,EDM_CD_ASSEMBLY,CONCENTRIC_ASSEMBLY_WB_ID,
CREATE_APP_ID,EDM_CD_ASSEMBLY,CREATE_APP_ID,
CREATE_DATE,EDM_CD_ASSEMBLY,CREATE_DATE,
CREATE_USER_ID,EDM_CD_ASSEMBLY,CREATE_USER_ID,
DATE_REPORT,EDM_CD_ASSEMBLY,DATE_REPORT,
DESIGN_LIFE,EDM_CD_ASSEMBLY,DESIGN_LIFE,
EVENT_ID,EDM_CD_ASSEMBLY,EventHashID,
HOLE_SIZE,EDM_CD_ASSEMBLY,HOLE_SIZE,
ID_MIN,EDM_CD_ASSEMBLY,ID_MIN,
IS_CASING_LINER,EDM_CD_ASSEMBLY,IS_CASING_LINER,
IS_PARALLEL,EDM_CD_ASSEMBLY,IS_PARALLEL,
IS_TOP_DOWN,EDM_CD_ASSEMBLY,IS_TOP_DOWN,
LENGTH_TOTAL,EDM_CD_ASSEMBLY,LENGTH_TOTAL,
MD_ASSEMBLY_BASE,EDM_CD_ASSEMBLY,MD_ASSEMBLY_BASE,
MD_ASSEMBLY_TOP,EDM_CD_ASSEMBLY,MD_ASSEMBLY_TOP,
MD_SET_DEPTH_CORRECTION,EDM_CD_ASSEMBLY,MD_SET_DEPTH_CORRECTION,
MD_TOC,EDM_CD_ASSEMBLY,MD_TOC,
MUD_DENSITY_SHOE,EDM_CD_ASSEMBLY,MUD_DENSITY_SHOE,
NO_COMPLETION_TRIPS,EDM_CD_ASSEMBLY,NO_COMPLETION_TRIPS,
OD_MAX,EDM_CD_ASSEMBLY,OD_MAX,
OVERLAP,EDM_CD_ASSEMBLY,OVERLAP,
PHASE,EDM_CD_ASSEMBLY,PHASE,
PILOT_HOLE_SIZE,EDM_CD_ASSEMBLY,PILOT_HOLE_SIZE,
PIPE_RUN_ID,EDM_CD_ASSEMBLY,PIPE_RUN_ID,
PLAN_DEPTH_TYPE,EDM_CD_ASSEMBLY,PLAN_DEPTH_TYPE,
REMARKS,EDM_CD_ASSEMBLY,REMARKS,
REPORT_JOURNAL_ID,EDM_CD_ASSEMBLY,ReportHashID,
ROD_LOAD_FACTOR,EDM_CD_ASSEMBLY,ROD_LOAD_FACTOR,
ROD_SVC_FACTOR,EDM_CD_ASSEMBLY,ROD_SVC_FACTOR,
SAND_CONTROL_EQUIPMENT,EDM_CD_ASSEMBLY,SAND_CONTROL_EQUIPMENT,
SET_DAY_NO,EDM_CD_ASSEMBLY,SET_DAY_NO,
STRING_CLASS,EDM_CD_ASSEMBLY,STRING_CLASS,
STRING_TYPE,EDM_CD_ASSEMBLY,STRING_TYPE,
SUSP_POINT,EDM_CD_ASSEMBLY,SUSP_POINT,
SUSP_POINT_CORRECTION,EDM_CD_ASSEMBLY,SUSP_POINT_CORRECTION,
TVD_ASSEMBLY_BASE,EDM_CD_ASSEMBLY,TVD_ASSEMBLY_BASE,
TVD_ASSEMBLY_TOP,EDM_CD_ASSEMBLY,TVD_ASSEMBLY_TOP,
TVD_TOC,EDM_CD_ASSEMBLY,TVD_TOC,
UPDATE_APP_ID,EDM_CD_ASSEMBLY,UPDATE_APP_ID,
UPDATE_DATE,EDM_CD_ASSEMBLY,UPDATE_DATE,
UPDATE_USER_ID,EDM_CD_ASSEMBLY,UPDATE_USER_ID,
WEIGHT_ABOVE_JARS,EDM_CD_ASSEMBLY,WEIGHT_ABOVE_JARS,
WEIGHT_BELOW_JARS,EDM_CD_ASSEMBLY,WEIGHT_BELOW_JARS,
WELL_ID,EDM_CD_ASSEMBLY,MainWellHashID,
WELLBORE_ID,EDM_CD_ASSEMBLY,MainWellBoreHashID,
ANISOTROPIC_HOOP,EDM_CD_ASSEMBLY_COMP,ANISOTROPIC_HOOP,
ANISOTROPIC_RADIAL,EDM_CD_ASSEMBLY_COMP,ANISOTROPIC_RADIAL,
ANNULAR_FLOW_AREA,EDM_CD_ASSEMBLY_COMP,ANNULAR_FLOW_AREA,
APPROXIMATE_WEIGHT,EDM_CD_ASSEMBLY_COMP,APPROXIMATE_WEIGHT,
AREA_OPENING_INTERNAL,EDM_CD_ASSEMBLY_COMP,AREA_OPENING_INTERNAL,
ASSEMBLY_COMP_ID,EDM_CD_ASSEMBLY_COMP,AssemblyCompHashID,
ASSEMBLY_ID,EDM_CD_ASSEMBLY_COMP,AssemblyHashID,
AUDIT_REMARKS,EDM_CD_ASSEMBLY_COMP,AUDIT_REMARKS,
AVERAGE_JOINT_LENGTH,EDM_CD_ASSEMBLY_COMP,AVERAGE_JOINT_LENGTH,
AXIAL_RATING,EDM_CD_ASSEMBLY_COMP,AXIAL_RATING,
BITFLOW_RATE,EDM_CD_ASSEMBLY_COMP,BITFLOW_RATE,
BLADE_LENGTH,EDM_CD_ASSEMBLY_COMP,BLADE_LENGTH,
BOT_CONN_LENGTH,EDM_CD_ASSEMBLY_COMP,BOT_CONN_LENGTH,
BOT_CONN_OD,EDM_CD_ASSEMBLY_COMP,BOT_CONN_OD,
BOT_CONN_TYPE,EDM_CD_ASSEMBLY_COMP,BOT_CONN_TYPE,
BOX_PIN_CONFIG,EDM_CD_ASSEMBLY_COMP,BOX_PIN_CONFIG,
CATALOG_ID,EDM_CD_ASSEMBLY_COMP,CATALOG_ID,
CATALOG_ITEM_ID,EDM_CD_ASSEMBLY_COMP,CATALOG_ITEM_ID,
CATALOG_KEY_DESC,EDM_CD_ASSEMBLY_COMP,CATALOG_KEY_DESC,
CENTERS,EDM_CD_ASSEMBLY_COMP,CENTERS,
CLOSED_END_DISPLACEMENT,EDM_CD_ASSEMBLY_COMP,CLOSED_END_DISPLACEMENT,
COATING,EDM_CD_ASSEMBLY_COMP,COATING,
COMP_COST,EDM_CD_ASSEMBLY_COMP,COMP_COST,
COMP_GROUP,EDM_CD_ASSEMBLY_COMP,COMP_GROUP,
COMP_NAME,EDM_CD_ASSEMBLY_COMP,COMP_NAME,
COMP_TYPE_CODE,EDM_CD_ASSEMBLY_COMP,COMP_TYPE_CODE,
CONDITION,EDM_CD_ASSEMBLY_COMP,CONDITION,
CONDUCTIVITY,EDM_CD_ASSEMBLY_COMP,CONDUCTIVITY,
CONNECTION_GRADE,EDM_CD_ASSEMBLY_COMP,CONNECTION_GRADE,
CONNECTION_NAME,EDM_CD_ASSEMBLY_COMP,CONNECTION_NAME,
CONNECTION_TORSIONAL_YIELD,EDM_CD_ASSEMBLY_COMP,CONNECTION_TORSIONAL_YIELD,
CONNECTION_TYPE,EDM_CD_ASSEMBLY_COMP,CONNECTION_TYPE,
CONTACT_LENGTH,EDM_CD_ASSEMBLY_COMP,CONTACT_LENGTH,
CORING_MODE,EDM_CD_ASSEMBLY_COMP,CORING_MODE,
CORRECTION_FACTOR,EDM_CD_ASSEMBLY_COMP,CORRECTION_FACTOR,
COST_PER_LENGTH,EDM_CD_ASSEMBLY_COMP,COST_PER_LENGTH,
CREATE_APP_ID,EDM_CD_ASSEMBLY_COMP,CREATE_APP_ID,
CREATE_DATE,EDM_CD_ASSEMBLY_COMP,CREATE_DATE,
CREATE_USER_ID,EDM_CD_ASSEMBLY_COMP,CREATE_USER_ID,
CRITICAL_PERCENT_AXIAL,EDM_CD_ASSEMBLY_COMP,CRITICAL_PERCENT_AXIAL,
CRITICAL_PERCENT_COLLAPSE,EDM_CD_ASSEMBLY_COMP,CRITICAL_PERCENT_COLLAPSE,
CRITICAL_PERCENT_TRIAXIAL,EDM_CD_ASSEMBLY_COMP,CRITICAL_PERCENT_TRIAXIAL,
CRITICAL_PERCENT_TRIAXIAL_HOOP,EDM_CD_ASSEMBLY_COMP,CRITICAL_PERCENT_TRIAXIAL_HOOP,
